_c0,_c1,_c2,_c3,_c4,_c5,_c6,_c7,_c8,_c9,_c10,_c11,_c12,_c13,_c14,Time dependent15,Time dependent16,_c17,_c18,Time dependent19,Time dependent20,_c21,_c22,Time dependent23,Independent24,_c25,_c26,Independent27,_c28,_c29,Independent30,Independent31,Independent32,Independent33,Independent34,Independent35,Independent36,Independent37,Independent38,Independent39,Independent40,_c41,_c42
null,null,null,null,null,null,null,null,null,null,null,7,Project-J-8,0.45,0.45,0.45,0.39,0.36,0.36,0.36,1.00,0.28,0.28,0.28,0.05,0.95,0.95,0.95,1.32,1.31,1.32,1.05,0.8,1,1.07584485407066,"3,479",11,"85,714,286",-1.3,108.95,67.71,0.618081180811808,0.8709666180204
null,null,null,null,null,null,null,null,null,null,null,8,Project-J-9,0.50,0.50,0.50,0.46,0.44,0.44,0.44,1.00,0.28,0.29,0.28,0.07,0.95,0.95,0.95,1.54,1.53,1.53,1.13,0.73,1,1.13402457757296,"3,479",11,"85,714,286",-0.61,108.95,72.91,0.564575645756458,0.821514200506
null,null,null,null,null,null,null,null,null,null,null,9,Project-J-10,0.56,0.56,0.56,0.56,0.50,0.50,0.50,1.00,0.32,0.33,0.32,0.08,0.89,0.89,0.89,1.55,1.54,1.54,0.99,0.64,1,1.16868279569892,"3,479",11,"85,714,286",-0.37,108.95,75.73,0.507380073800738,0.8205473103716
null,null,null,null,null,null,null,null,null,null,null,10,Project-J-11,0.61,0.61,0.61,0.66,0.58,0.58,0.58,1.00,0.37,0.37,0.37,0.09,0.88,0.88,0.88,1.57,1.55,1.56,0.86,0.55,1,1.15937019969278,"3,479",11,"85,714,286",0.11,108.95,74.84,0.450184501845018,0.80916832423
null,null,null,null,null,null,null,null,null,null,null,11,Project-J-12,0.67,0.67,0.67,0.80,0.68,0.68,0.68,1.00,0.45,0.45,0.45,0.11,0.85,0.85,0.85,1.51,1.50,1.50,1.17,0.77,1,1.15120967741935,"3,479",11,"85,714,286",1.2,108.95,74.06,0.394833948339483,0.808885907294
null,null,null,null,null,null,null,null,null,null,null,12,Project-J-13,0.73,0.73,0.73,0.84,0.74,0.74,0.74,1.00,0.51,0.51,0.51,0.12,0.88,0.88,0.88,1.46,1.45,1.46,1.04,0.71,1,1.14314516129032,"3,479",11,"85,714,286",0.15,108.95,73.27,0.337638376383764,0.8195434003308
null,null,null,null,null,null,null,null,null,null,null,13,Project-J-14,0.78,0.78,0.78,0.88,0.84,0.84,0.84,1.00,0.55,0.56,0.56,0.13,0.95,0.95,0.95,1.51,1.50,1.50,1.12,0.74,1,1.16493855606759,"3,479",11,"85,714,286",1.2,108.95,74.96,0.282287822878229,0.796447745072
null,null,null,null,null,null,null,null,null,null,null,14,Project-J-15,0.84,0.84,0.84,0.91,0.89,0.89,0.89,1.00,0.61,0.62,0.61,0.15,0.98,0.98,0.98,1.45,1.44,1.45,1.01,0.7,1,1.17828341013825,"3,479",11,"85,714,286",1.64,108.95,76.15,0.225092250922509,0.8086097517488
null,null,null,null,null,null,null,null,null,null,null,15,Project-J-16,0.90,0.90,0.90,0.95,0.94,0.94,0.94,1.00,0.64,0.65,0.65,0.17,0.98,0.98,0.98,1.45,1.44,1.45,1.16,0.8,1,1.17693932411674,"3,479",11,"85,714,286",-0.78,108.95,76.03,0.16789667896679,0.7854182786832
null,null,null,null,null,null,null,null,null,null,null,16,Project-J-17,0.95,0.95,0.95,0.98,0.96,0.96,0.96,1.00,0.71,0.71,0.71,0.18,0.99,0.99,0.99,1.37,1.36,1.36,1.06,0.78,1,1.18500384024578,"3,479",11,"85,714,286",1.56,108.95,76.75,0.112546125461255,0.8141886244936
null,null,null,null,null,null,null,null,null,null,null,17,Project-J-18,1.01,1.01,1.01,1.00,0.99,0.99,0.99,1.00,0.75,0.75,0.75,0.18,0.99,0.99,0.99,1.32,1.31,1.32,1.08,0.82,1,1.17665130568356,"3,479",11,"85,714,286",0.0800000000000001,108.95,75.98,0.0553505535055351,0.8179636231956
null,null,null,null,null,null,null,null,null,null,null,18,Project-J-19,1.06,1.06,1.06,1.00,1.00,1.00,1.00,1.00,0.87,0.88,0.88,0.19,1.00,1.00,1.00,1.14,1.14,1.14,1.01,0.88,1,1.16993087557604,"3,479",11,"85,714,286",1.51,108.95,75.2,0,0.9125522701696
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
E,"12,622",2,9,11,1,2003-12-01,2005-08-22,630,"289,992,000",29,1,Project-A-1,0.04,0.04,0.04,- 0,- 0,null,- 0,1.00,- 0,null,- 0,0.00657894736842105,1.00,null,1.00,1.00,null,1.00,1,1,1,1,"12,622",11,"289,992,000",0.54,107.44,64.64,1.00263157894737,0.880672733894
null,null,null,null,null,null,null,null,null,null,null,2,Project-A-2,0.08,0.08,0.08,0.05,0.04,0.04,0.04,1.00,0.02,0.02,0.02,0.0157894736842105,0.69,0.69,0.69,2.01,2.01,2.01,1,1,1,1.03214515980473,"12,622",11,"289,992,000",-1.3,108.95,67.71,0.961842105263158,0.9033674301232
null,null,null,null,null,null,null,null,null,null,null,3,Project-A-3,0.12,0.12,0.12,0.09,0.08,0.08,0.08,1.00,0.03,0.03,0.03,0.0263157894736842,0.89,0.89,0.89,2.24,2.24,2.24,1.67,0.75,1,1.08796168370636,"12,622",11,"289,992,000",-0.61,108.95,72.91,0.923684210526316,0.8894512067576
null,null,null,null,null,null,null,null,null,null,null,4,Project-A-4,0.16,0.16,0.16,0.10,0.10,0.10,0.10,1.00,0.05,0.05,0.05,0.0342105263157895,0.99,0.99,0.99,2.05,2.05,2.05,1.33,0.65,1,1.12121212121212,"12,622",11,"289,992,000",-0.37,108.95,75.73,0.882894736842105,0.8946389477108
null,null,null,null,null,null,null,null,null,null,null,5,Project-A-5,0.20,0.20,0.20,0.12,0.11,0.11,0.11,1.00,0.09,0.09,0.09,0.0473684210526316,0.99,0.99,0.99,1.27,1.27,1.27,0.73,0.57,1,1.11227779312886,"12,622",11,"289,992,000",0.11,108.95,74.84,0.842105263157895,0.9563048836364
null,null,null,null,null,null,null,null,null,null,null,6,Project-A-6,0.24,0.24,0.24,0.12,0.12,0.12,0.12,1.00,0.12,0.12,0.12,0.0513157894736842,1.00,1.00,1.00,1.02,1.02,1.02,1.07,1.05,1,1.10444874274662,"12,622",11,"289,992,000",1.2,108.95,74.06,0.802631578947368,0.97351364516
null,null,null,null,null,null,null,null,null,null,null,7,Project-A-7,0.28,0.28,0.28,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.0592105263157895,0.99,0.99,0.99,1.00,1.00,1.00,1.06,1.06,1,1.09671179883946,"12,622",11,"289,992,000",0.15,108.95,73.27,0.761842105263158,0.975502301284
null,null,null,null,null,null,null,null,null,null,null,8,Project-A-8,0.32,0.32,0.32,0.15,0.15,0.15,0.15,1.00,0.15,0.15,0.15,0.0736842105263158,1.00,1.00,1.00,1.04,1.04,1.04,1.14,1.09,1,1.1176199686838,"12,622",11,"289,992,000",1.2,108.95,74.96,0.722368421052632,0.9633976051456
null,null,null,null,null,null,null,null,null,null,null,9,Project-A-9,0.36,0.36,0.36,0.16,0.17,0.17,0.17,1.00,0.18,0.18,0.18,0.0907894736842105,1.02,1.02,1.02,0.92,0.92,0.92,0.91,0.99,1,1.13042276872064,"12,622",11,"289,992,000",1.64,108.95,76.15,0.681578947368421,0.9928121636472
null,null,null,null,null,null,null,null,null,null,null,10,Project-A-10,0.40,0.40,0.40,0.16,0.17,0.17,0.17,1.00,0.23,0.23,0.23,0.0960526315789474,1.02,1.02,1.02,0.73,0.73,0.73,0.68,0.93,1,1.12913327806945,"12,622",11,"289,992,000",-0.78,108.95,76.03,0.640789473684211,1.0357449143752
null,null,null,null,null,null,null,null,null,null,null,11,Project-A-11,0.44,0.44,0.44,0.25,0.23,0.23,0.23,1.00,0.27,0.27,0.27,0.0973684210526316,0.93,0.93,0.93,0.86,0.86,0.86,0.64,0.75,1,1.13687022197661,"12,622",11,"289,992,000",1.56,108.95,76.75,0.601315789473684,1.0100357342992
null,null,null,null,null,null,null,null,null,null,null,12,Project-A-12,0.48,0.48,0.48,0.30,0.30,0.30,0.30,1.00,0.32,0.32,0.32,0.101315789473684,1.02,1.02,1.02,0.95,0.95,0.95,0.71,0.75,1,1.12885695864419,"12,622",11,"289,992,000",0.0800000000000001,108.95,75.98,0.560526315789474,0.9846485923752
null,null,null,null,null,null,null,null,null,null,null,13,Project-A-13,0.52,0.52,0.52,0.35,0.33,0.33,0.33,1.00,0.37,0.37,0.37,0.106578947368421,0.94,0.94,0.94,0.88,0.88,0.88,0.69,0.78,1,1.12240950538823,"12,622",11,"289,992,000",1.51,108.95,75.2,0.521052631578947,1.0097488962516
null,null,null,null,null,null,null,null,null,null,null,14,Project-A-14,0.56,0.56,0.56,0.41,0.39,0.39,0.39,1.00,0.40,0.40,0.40,0.121052631578947,0.95,0.95,0.95,0.97,0.97,0.97,0.74,0.77,1,1.11688311688312,"12,622",11,"289,992,000",-0.22,102,74.6,0.480263157894737,0.9532249613904
null,null,null,null,null,null,null,null,null,null,null,15,Project-A-15,0.60,0.60,0.60,0.45,0.43,0.43,0.43,1.00,0.42,0.42,0.42,0.121052631578947,0.95,0.95,0.95,1.02,1.02,1.02,0.81,0.79,1,1.12415952841485,"12,622",11,"289,992,000",-1.61,102,75.24,0.442105263157895,0.9313537106528
null,null,null,null,null,null,null,null,null,null,null,16,Project-A-16,0.68,0.68,0.68,0.61,0.57,0.57,0.57,1.00,0.47,0.47,0.47,0.126315789473684,0.94,0.94,0.94,1.20,1.20,1.20,0.84,0.7,1,1.12802800036843,"12,622",11,"289,992,000",-0.19,102,75.5,0.361842105263158,0.8880841442932
null,null,null,null,null,null,null,null,null,null,null,17,Project-A-17,0.72,0.72,0.72,0.70,0.67,0.67,0.67,1.00,0.53,0.53,0.53,0.140789473684211,0.95,0.95,0.95,1.26,1.26,1.26,0.86,0.68,1,1.11890945933499,"12,622",11,"289,992,000",0.15,102,75.37,0.322368421052632,0.884821641294
null,null,null,null,null,null,null,null,null,null,null,18,Project-A-18,0.76,0.76,0.76,0.79,0.76,0.76,0.76,1.00,0.63,0.63,0.63,0.152631578947368,0.96,0.96,0.96,1.21,1.21,1.21,0.87,0.72,1,1.10619876577323,"12,622",11,"289,992,000",0.67,102,74.47,0.281578947368421,0.9249517437936
null,null,null,null,null,null,null,null,null,null,null,19,Project-A-19,0.80,0.80,0.80,0.89,0.86,0.86,0.86,1.00,0.71,0.71,0.71,0.164473684210526,0.97,0.97,0.97,1.20,1.20,1.20,0.88,0.73,1,1.10527770102238,"12,622",11,"289,992,000",0.26,102,73.27,0.242105263157895,0.948575315178
null,null,null,null,null,null,null,null,null,null,null,20,Project-A-20,0.84,0.84,0.84,0.98,0.97,0.97,0.97,1.00,0.84,0.84,0.84,0.178947368421053,0.99,0.99,0.99,1.16,1.16,1.16,0.97,0.83,1,1.10933038592613,"12,622",11,"289,992,000",1.31,102,73.17,0.201315789473684,1.0020184017116
null,null,null,null,null,null,null,null,null,null,null,21,Project-A-21,0.88,0.88,0.88,0.99,0.98,0.98,0.98,1.00,0.92,0.92,0.92,0.188157894736842,0.99,0.99,0.99,1.07,1.07,1.07,0.88,0.82,1,1.11780418163397,"12,622",11,"289,992,000",1.34,102,73.55,0.160526315789474,1.0647742104908
null,null,null,null,null,null,null,null,null,null,null,22,Project-A-22,0.92,0.92,0.92,1.00,0.99,0.99,0.99,1.00,0.94,0.94,0.94,0.194736842105263,0.99,0.99,0.99,1.05,1.05,1.05,0.95,0.91,1,1.11909367228516,"12,622",11,"289,992,000",-0.32,102,74.34,0.121052631578947,1.0615286419388
null,null,null,null,null,null,null,null,null,null,null,23,Project-A-23,0.96,0.96,0.96,1.00,1.00,0.99,1.00,1.01,0.97,0.96,0.96,0.197368421052632,0.99,0.99,0.99,1.03,1.03,1.03,0.92,0.89,1.01,1.11586994565718,"12,622",11,"289,992,000",0.0299999999999998,102,74.34,0.0802631578947368,1.0750764816428
null,null,null,null,null,null,null,null,null,null,null,24,Project-A-24,1.00,1.00,1.00,1.00,1.00,0.99,1.00,1.01,0.99,0.97,0.98,0.202631578947368,0.99,0.99,0.99,1.01,1.01,1.01,0.91,0.89,1.01,1.11623837155752,"12,622",11,"289,992,000",0.38,102,73.98,0.0407894736842105,1.0728728460268
null,null,null,null,null,null,null,null,null,null,null,25,Project-A-25,1.04,1.04,1.04,1.00,1.01,1.00,1.01,1.01,1.00,0.99,1.00,0.206578947368421,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1,1.01,1.1207515888367,"12,622",11,"289,992,000",0.78,100,73.97,0,1.057741466224
null,null,null,null,null,null,null,null,null,null,null,26,Project-A-26,1.08,1.08,1.08,1.00,1.01,1.00,1.01,1.01,1.00,0.99,1.00,0.211842105263158,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1,1.01,1.12637008381689,"12,622",11,"289,992,000",-0.51,100,74.37,null,1.0398868239748
null,null,null,null,null,null,null,null,null,null,null,27,Project-A-27,1.12,1.12,1.12,1.00,1.01,1.00,1.01,1.01,1.01,0.99,1.00,0.222368421052632,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1,1.01,1.13908077737865,"12,622",11,"289,992,000",-1.61,100,74.88,null,1.02190986706996
null,null,null,null,null,null,null,null,null,null,null,28,Project-A-28,1.16,1.16,1.16,1.00,1.01,1.00,1.01,1.01,1.04,1.03,1.03,0.234210526315789,1.00,1.00,1.00,0.97,0.97,0.97,0.97,1,1.01,1.16081790549876,"12,622",11,"289,992,000",0.89,100,75.99,null,1.04954869212036
null,null,null,null,null,null,null,null,null,null,null,29,Project-A-29,1.20,1.20,1.20,1.00,1.01,1.00,1.01,1.01,1.09,1.06,1.07,0.246052631578947,1.00,1.00,1.00,0.93,0.95,0.94,0.93,1,1.01,1.19618679193147,"12,622",11,"289,992,000",-0.77,100,78.02,null,1.09684231633548
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
F,"4,919",3,11,14,1,2003-12-13,2005-11-10,698,"149,300,000",24,1,Project-B-1,0.02,0.02,0.02,null,- 0,null,- 0,1.00,- 0,null,- 0,0,1.00,null,1.00,1.00,null,1.00,1,1,1,1,"4,919",14,"149,300,000",0.54,107.44,64.64,0.959885386819484,0.8792831105084
null,null,null,null,null,null,null,null,null,null,null,2,Project-B-2,0.07,0.07,0.07,null,- 0,null,- 0,1.00,0.03,0.03,0.03,0.00716332378223496,1.00,null,1.00,1.00,- 0,0.50,1.16,1,1,1.03214515980473,"4,919",14,"149,300,000",-1.3,108.95,67.71,0.915472779369627,0.8978518840484
null,null,null,null,null,null,null,null,null,null,null,3,Project-B-3,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.06,0.06,0.06,0.0171919770773639,1.00,1.00,1.00,1.76,1.76,1.76,1.77,1,1,1.08796168370636,"4,919",14,"149,300,000",-0.61,108.95,72.91,0.873925501432665,0.896246211072
null,null,null,null,null,null,null,null,null,null,null,4,Project-B-4,0.15,0.15,0.15,0.13,0.13,0.13,0.13,1.00,0.10,0.10,0.10,0.0286532951289398,1.00,1.00,1.00,1.31,1.31,1.31,1.31,1,1,1.12121212121212,"4,919",14,"149,300,000",-0.37,108.95,75.73,0.829512893982808,0.9253036778828
null,null,null,null,null,null,null,null,null,null,null,5,Project-B-5,0.20,0.20,0.20,0.15,0.15,0.15,0.15,1.00,0.13,0.13,0.13,0.0372492836676218,1.00,1.00,1.00,1.18,1.18,1.18,1.01,0.86,1,1.11227779312886,"4,919",14,"149,300,000",0.11,108.95,74.84,0.785100286532951,0.9536916297576
null,null,null,null,null,null,null,null,null,null,null,6,Project-B-6,0.24,0.24,0.24,0.16,0.16,0.16,0.16,1.00,0.14,0.14,0.14,0.0515759312320917,1.00,1.00,1.00,1.14,1.14,1.14,0.88,0.77,1,1.10444874274662,"4,919",14,"149,300,000",1.2,108.95,74.06,0.742120343839542,0.9578930313032
null,null,null,null,null,null,null,null,null,null,null,7,Project-B-7,0.29,0.29,0.29,0.16,0.16,0.16,0.16,1.00,0.17,0.17,0.17,0.0558739255014327,1.00,1.00,1.00,0.99,0.99,0.99,1.35,1.36,1,1.09671179883946,"4,919",14,"149,300,000",0.15,108.95,73.27,0.697707736389685,0.953092942798
null,null,null,null,null,null,null,null,null,null,null,8,Project-B-8,0.33,0.33,0.33,0.19,0.19,0.19,0.19,1.00,0.19,0.19,0.19,0.0644699140401146,1.00,1.00,1.00,0.97,0.97,0.97,1.15,1.19,1,1.1176199686838,"4,919",14,"149,300,000",1.2,108.95,74.96,0.654727793696275,0.972696950178
null,null,null,null,null,null,null,null,null,null,null,9,Project-B-9,0.37,0.37,0.37,0.26,0.26,0.26,0.26,1.00,0.22,0.22,0.22,0.0802292263610315,1.00,1.00,1.00,1.19,1.19,1.19,1.36,1.15,1,1.13042276872064,"4,919",14,"149,300,000",1.64,108.95,76.15,0.610315186246418,0.9033602703216
null,null,null,null,null,null,null,null,null,null,null,10,Project-B-10,0.42,0.42,0.42,0.30,0.30,0.30,0.30,1.00,0.25,0.25,0.25,0.0988538681948424,1.00,1.00,1.00,1.20,1.20,1.20,1.36,1.13,1,1.12913327806945,"4,919",14,"149,300,000",-0.78,108.95,76.03,0.565902578796562,0.8913739613488
null,null,null,null,null,null,null,null,null,null,null,11,Project-B-11,0.46,0.46,0.46,0.32,0.30,0.32,0.31,1.00,0.29,0.29,0.29,0.10458452722063,1.00,1.00,1.00,1.02,1.10,1.06,1.31,1.29,1,1.13687022197661,"4,919",14,"149,300,000",1.56,108.95,76.75,0.522922636103152,0.940918215516
null,null,null,null,null,null,null,null,null,null,null,12,Project-B-12,0.51,0.51,0.51,0.34,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.106017191977077,0.98,0.98,0.98,1.02,1.02,1.02,1.18,1.16,1,1.12885695864419,"4,919",14,"149,300,000",0.0800000000000001,108.95,75.98,0.478510028653295,0.949510727142
null,null,null,null,null,null,null,null,null,null,null,13,Project-B-13,0.55,0.55,0.55,0.37,0.37,0.37,0.37,1.00,0.36,0.36,0.36,0.110315186246418,1.00,1.00,1.00,1.02,1.02,1.02,1.25,1.23,1,1.12240950538823,"4,919",14,"149,300,000",1.51,108.95,75.2,0.435530085959885,0.9245875631384
null,null,null,null,null,null,null,null,null,null,null,14,Project-B-14,0.59,0.59,0.59,0.41,0.41,0.41,0.41,1.01,0.41,0.40,0.40,0.116045845272206,1.01,1.01,1.01,1.02,1.02,1.02,1.12,1.09,1.01,1.11688311688312,"4,919",14,"149,300,000",-0.22,102,74.6,0.391117478510029,0.928262141462
null,null,null,null,null,null,null,null,null,null,null,15,Project-B-15,0.63,0.63,0.63,0.45,0.45,0.44,0.45,1.01,0.44,0.43,0.44,0.131805157593123,1.00,1.00,1.00,1.02,1.02,1.02,1.04,1.01,1.01,1.12415952841485,"4,919",14,"149,300,000",-1.61,102,75.24,0.349570200573066,0.9291476252892
null,null,null,null,null,null,null,null,null,null,null,16,null,null,0.68,0.68,0.56,0.56,0.55,0.56,1.01,0.55,0.54,0.54,0.137535816618911,0.99,0.99,0.99,1.02,1.02,1.02,1.11,1.09,1.01,1.12802800036843,"4,919",14,"149,300,000",-0.19,102,75.5,0.306590257879656,0.9452435438564
null,null,null,null,null,null,null,null,null,null,null,17,Project-B-16,0.72,0.72,0.72,0.63,0.63,0.62,0.63,1.01,0.62,0.61,0.61,0.153295128939828,0.99,0.99,0.99,1.02,1.02,1.02,1.06,1.04,1.01,1.11890945933499,"4,919",14,"149,300,000",0.15,102,75.37,0.262177650429799,0.9662338501412
null,null,null,null,null,null,null,null,null,null,null,18,Project-B-17,0.77,0.77,0.77,0.73,0.68,0.67,0.67,1.01,0.66,0.66,0.66,0.166189111747851,0.92,0.92,0.92,1.02,1.02,1.02,1.02,1,1.01,1.10619876577323,"4,919",14,"149,300,000",0.67,102,74.47,0.21919770773639,0.971545352236
null,null,null,null,null,null,null,null,null,null,null,19,Project-B-18,0.81,0.81,0.81,0.82,0.82,0.82,0.82,1.01,0.72,0.72,0.72,0.179083094555874,1.00,1.00,1.00,1.14,1.14,1.14,1.08,0.95,1.01,1.10527770102238,"4,919",14,"149,300,000",0.26,102,73.27,0.174785100286533,0.9516977272912
null,null,null,null,null,null,null,null,null,null,null,20,Project-B-19,0.85,0.85,0.85,0.91,0.92,0.91,0.92,1.01,0.79,0.78,0.78,0.194842406876791,1.00,1.00,1.00,1.17,1.17,1.17,1.13,0.96,1.01,1.10933038592613,"4,919",14,"149,300,000",1.31,102,73.17,0.131805157593123,0.947564375392
null,null,null,null,null,null,null,null,null,null,null,21,Project-B-20,0.90,0.90,0.90,0.94,0.94,0.94,0.94,1.01,0.80,0.79,0.79,0.20487106017192,1.00,1.00,1.00,1.19,1.19,1.19,1.23,1.03,1.01,1.11780418163397,"4,919",14,"149,300,000",1.34,102,73.55,0.0873925501432665,0.9172275135288
null,null,null,null,null,null,null,null,null,null,null,22,Project-B-21,0.94,0.94,0.94,0.99,0.99,0.99,0.99,1.00,0.82,0.81,0.81,0.212034383954155,1.00,1.00,1.00,1.21,1.21,1.21,1.2,0.99,1,1.11909367228516,"4,919",14,"149,300,000",-0.32,102,74.34,0.0429799426934097,0.8885190613696
null,null,null,null,null,null,null,null,null,null,null,23,Project-B-22,0.98,0.98,0.98,1.00,1.00,1.00,1.00,1.00,0.84,0.84,0.84,0.214899713467049,1.00,1.00,1.00,1.19,1.19,1.19,1.18,1,1,1.11586994565718,"4,919",14,"149,300,000",0.0299999999999998,102,74.34,0,0.8908769816172
null,null,null,null,null,null,null,null,null,null,null,24,Project-B-23,1.03,1.03,1.03,1.00,1.00,1.00,1.00,1.00,0.91,0.91,0.91,0.220630372492837,1.00,1.00,1.00,1.10,1.10,1.10,1.1,1,1,1.11623837155752,"4,919",14,"149,300,000",0.38,102,73.98,null,0.9426807143968
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
G,"4,774",2,11,13,1,2004-02-21,2006-02-20,730,"145,377,589",27,1,Project-L-3,0.12,0.12,0.12,0.06,0.06,0.06,0.06,1.00,0.03,0.03,0.03,0.01,1.00,0.94,0.97,1.82,1.82,1.82,0,0,1,1.015154080596,"4,774",13,"145,377,589",1.2,108.95,74.06,0.929181929181929,0.9048445693288
null,null,null,null,null,null,null,null,null,null,null,2,Project-L-4,0.16,0.16,0.16,0.12,0.13,0.13,0.13,1.00,0.07,0.07,0.07,0.02,1.00,1.05,1.02,1.90,1.90,1.90,1.82,0.96,1,1.00804266847274,"4,774",13,"145,377,589",0.15,108.95,73.27,0.891330891330891,0.881209723476
null,null,null,null,null,null,null,null,null,null,null,3,Project-L-5,0.20,0.20,0.20,0.15,0.15,0.15,0.15,1.00,0.13,0.13,0.13,0.02,1.00,1.01,1.01,1.21,1.21,1.21,1.29,1.06,1,1.02726041313918,"4,774",13,"145,377,589",1.2,108.95,74.96,0.854700854700855,0.9300125690816
null,null,null,null,null,null,null,null,null,null,null,4,Project-L-6,0.23,0.23,0.23,0.18,0.18,0.18,0.18,1.00,0.15,0.15,0.15,0.04,1.00,1.01,1.00,1.18,1.18,1.18,1.32,1.12,1,1.03902810700982,"4,774",13,"145,377,589",1.64,108.95,76.15,0.816849816849817,0.9249993075176
null,null,null,null,null,null,null,null,null,null,null,5,Project-L-7,0.27,0.27,0.27,0.23,0.18,0.22,0.20,1.01,0.18,0.18,0.18,0.05,1.00,0.94,0.97,1.03,1.22,1.13,1.61,1.56,1.01,1.03784287165594,"4,774",13,"145,377,589",-0.78,108.95,76.03,0.778998778998779,0.9504186346804
null,null,null,null,null,null,null,null,null,null,null,6,Project-L-8,0.31,0.31,0.31,0.27,0.28,0.27,0.28,1.01,0.22,0.21,0.22,0.06,1.01,1.01,1.01,1.28,1.28,1.28,1.32,1.03,1.01,1.04495428377921,"4,774",13,"145,377,589",1.56,108.95,76.75,0.742368742368742,0.8953585243968
null,null,null,null,null,null,null,null,null,null,null,7,Project-L-9,0.35,0.35,0.35,0.32,0.32,0.32,0.32,1.01,0.26,0.26,0.26,0.06,0.99,0.99,0.99,1.23,1.23,1.23,1.26,1.03,1.01,1.03758889265154,"4,774",13,"145,377,589",0.0800000000000001,108.95,75.98,0.704517704517705,0.9002374805852
null,null,null,null,null,null,null,null,null,null,null,8,Project-L-10,0.38,0.38,0.38,0.36,0.36,0.36,0.36,1.01,0.30,0.30,0.30,0.06,1.00,1.00,1.00,1.21,1.21,1.21,1.25,1.02,1.01,1.03166271588215,"4,774",13,"145,377,589",1.51,108.95,75.2,0.667887667887668,0.8931588161936
null,null,null,null,null,null,null,null,null,null,null,9,Project-L-11,0.42,0.42,0.42,0.41,0.41,0.41,0.41,1.01,0.35,0.35,0.35,0.07,1.01,1.01,1.01,1.18,1.18,1.18,1.06,0.89,1.01,1.02658313579411,"4,774",13,"145,377,589",-0.22,102,74.6,0.63003663003663,0.9151006587332
null,null,null,null,null,null,null,null,null,null,null,10,Project-L-12,0.46,0.46,0.46,0.41,0.41,0.41,0.41,1.01,0.38,0.38,0.38,0.08,1.01,1.01,1.01,1.09,1.09,1.09,0.97,0.89,1.01,1.0332712495767,"4,774",13,"145,377,589",-1.61,102,75.24,0.594627594627595,0.947835345996
null,null,null,null,null,null,null,null,null,null,null,11,Project-L-13,0.53,0.53,0.53,0.51,0.51,0.51,0.51,1.01,0.46,0.46,0.46,0.09,0.99,0.99,0.99,1.11,1.11,1.11,0.99,0.9,1.01,1.03682695563833,"4,774",13,"145,377,589",0.15,102,75.37,0.52014652014652,0.9844061352404
null,null,null,null,null,null,null,null,null,null,null,12,Project-L-14,0.57,0.57,0.57,0.57,0.54,0.54,0.54,1.01,0.48,0.48,0.48,0.10,0.95,0.95,0.95,1.13,1.13,1.13,0.96,0.85,1.01,1.02844564849306,"4,774",13,"145,377,589",0.67,102,74.47,0.483516483516484,0.9726041543
null,null,null,null,null,null,null,null,null,null,null,13,Project-L-15,0.60,0.60,0.60,0.61,0.59,0.58,0.59,1.01,0.53,0.53,0.53,0.11,0.96,0.96,0.96,1.10,1.10,1.10,0.98,0.89,1.01,1.01676261429055,"4,774",13,"145,377,589",0.26,102,73.27,0.445665445665446,0.9855407387536
